 , date, time, times, wifi_ssid_name, stutus_result   , play youtube, local host      , bytes transmitted, average cpu load, (Mb)          , (MB/s)          
 ,2021-05-11, 16:24:30 ,1 ,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,100225710 ,92.7582645218707 ,800.8454606592809 ,95.46821840516101
  ,2021-05-11, 16:25:52 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,104156130 ,56.84502394129015 ,833.0675024440112 ,99.3093851141943
  ,2021-05-11, 16:27:08 ,2 ,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113327110 ,44.52699233914627 ,903.2981352774844 ,107.68152895897441
  ,2021-05-11, 16:28:36 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112016970 ,45.86021456205014 ,891.2153076723271 ,106.24114366439903
  ,2021-05-11, 16:29:45 ,3 ,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,84504030 ,79.95034151795855 ,671.2776214558481 ,80.02252834508992
  ,2021-05-11, 16:31:12 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250 ,61.27682585062163 ,914.9049176573451 ,109.06516524044812
  ,2021-05-11, 16:32:33 ,4 ,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,104811200 ,89.04582709975861 ,835.0964948589833 ,99.55125985848704
  ,2021-05-11, 16:33:57 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,111361900 ,54.56999534765057 ,890.2764666177295 ,106.12922508927936
  ,2021-05-11, 16:35:12 ,5 ,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,116602460 ,46.354017571554145 ,930.5538103669743 ,110.93065862261943
  ,2021-05-11, 16:36:21 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,91709800 ,83.90541535414168 ,731.6268882752883 ,87.21672156754592
  ,2021-05-11, 16:37:36 ,6 ,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,106776410 ,61.37825504719942 ,850.5487507728129 ,101.39331230793152
  ,2021-05-11, 16:38:56 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,98260500 ,86.4302976502183 ,784.0048740677224 ,93.46066404196291
